Objects
100
,,Global Angle vicon_mount_husky:vicon_mount_husky,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0295532,-0.00982512,0.267902,-124.382,-336.222,120.025
2,0,-0.0295974,-0.00970397,0.267852,-124.385,-336.231,120.008
3,0,-0.0295264,-0.00997396,0.267863,-124.39,-336.247,119.983
4,0,-0.0295034,-0.00975997,0.267896,-124.389,-336.252,119.986
5,0,-0.0294758,-0.00966832,0.267931,-124.375,-336.242,119.992
6,0,-0.0294852,-0.00961547,0.268028,-124.374,-336.234,120.013
7,0,-0.0293635,-0.00990494,0.267978,-124.364,-336.236,120.049
8,0,-0.0294656,-0.00982598,0.267932,-124.367,-336.228,120.055
9,0,-0.0295985,-0.00967734,0.267854,-124.371,-336.218,120.027
10,0,-0.0296412,-0.00970909,0.267862,-124.377,-336.232,120.001
11,0,-0.0294317,-0.00976287,0.267889,-124.386,-336.244,119.999
12,0,-0.0295645,-0.00970275,0.267854,-124.39,-336.243,119.999
13,0,-0.0295526,-0.00963108,0.267905,-124.392,-336.234,120.002
14,0,-0.0294793,-0.00953615,0.267923,-124.394,-336.226,120.026
15,0,-0.0294155,-0.00973942,0.267888,-124.382,-336.224,120.038
16,0,-0.0294408,-0.00988113,0.267848,-124.375,-336.23,120.036
17,0,-0.0294111,-0.0098744,0.267832,-124.37,-336.243,120.029
18,0,-0.0293565,-0.0100184,0.267822,-124.369,-336.248,120.02
19,0,-0.0293362,-0.00978818,0.267753,-124.368,-336.245,120.016
20,0,-0.0292895,-0.00951385,0.267858,-124.377,-336.235,120.021
21,0,-0.0292935,-0.00963254,0.267882,-124.375,-336.227,120.027
22,0,-0.0293466,-0.00953631,0.267882,-124.381,-336.218,120.041
23,0,-0.0294185,-0.00939846,0.267821,-124.384,-336.217,120.044
24,0,-0.0293855,-0.00967503,0.267739,-124.385,-336.219,120.034
25,0,-0.0292546,-0.00986416,0.267675,-124.38,-336.235,120.029
26,0,-0.0291028,-0.0100351,0.267723,-124.375,-336.246,120.018
27,0,-0.0291113,-0.00963871,0.267719,-124.369,-336.239,120.02
28,0,-0.0290231,-0.00964996,0.26779,-124.362,-336.232,120.027
29,0,-0.028892,-0.00954047,0.267727,-124.36,-336.233,120.067
30,0,-0.0289151,-0.00969404,0.267718,-124.363,-336.227,120.072
31,0,-0.0289573,-0.00948121,0.267662,-124.363,-336.217,120.054
32,0,-0.0290438,-0.0096648,0.267574,-124.362,-336.227,120.035
33,0,-0.028883,-0.00960653,0.26754,-124.367,-336.236,120.046
34,0,-0.0287637,-0.00946019,0.267601,-124.362,-336.251,120.042
35,0,-0.0288324,-0.00923137,0.26755,-124.359,-336.232,120.05
36,0,-0.0287919,-0.00921175,0.267547,-124.358,-336.222,120.074
37,0,-0.0304185,-0.00954114,0.266307,-124.266,-336.266,120.012
38,0,-0.0301633,-0.00938381,0.266366,-124.269,-336.271,120.02
39,0,-0.0299381,-0.00959888,0.26638,-124.273,-336.283,120.017
40,0,-0.0296892,-0.00962961,0.266381,-124.28,-336.303,120.02
41,0,-0.0295098,-0.00960008,0.266476,-124.282,-336.298,120.004
42,0,-0.0294807,-0.00920246,0.266509,-124.282,-336.282,120.019
43,0,-0.0294094,-0.00936469,0.266589,-124.285,-336.28,120.045
44,0,-0.0292364,-0.00929953,0.266494,-124.293,-336.275,120.089
45,0,-0.0292528,-0.00921224,0.266439,-124.295,-336.274,120.109
46,0,-0.0292338,-0.00920642,0.266436,-124.294,-336.274,120.096
47,0,-0.0291048,-0.0094442,0.266405,-124.291,-336.286,120.083
48,0,-0.031073,-0.0101821,0.266432,-124.317,-336.182,119.906
49,0,-0.0311024,-0.0102712,0.266473,-124.307,-336.184,119.889
50,0,-0.0311438,-0.0100708,0.2664,-124.307,-336.176,119.902
51,0,-0.0310326,-0.0100398,0.266467,-124.301,-336.164,119.919
52,0,-0.0310946,-0.00991429,0.266422,-124.302,-336.141,119.937
53,0,-0.0311511,-0.00991683,0.266406,-124.307,-336.148,119.941
54,0,-0.0310146,-0.0102239,0.266343,-124.314,-336.163,119.939
55,0,-0.0310495,-0.0100027,0.266378,-124.315,-336.179,119.938
56,0,-0.031028,-0.0101716,0.26636,-124.312,-336.176,119.911
